Finny_GLCode;Finny_GLDescription;BalanceTypeCode;BalanceTypeDescription;cgClassificationNewStyle6_GLSchemeCode;GLClassificationCode_RGS versie 3.5;GLClassificationDescr_RGS versie 3.5Description;TypeCode;TypeDescriptionDescription;BalanceSideDescription;BalanceSideCode;InterpretationHint;SemanticDescription
8900;Overige bedrijfsopbrengsten;W;Winst & Verlies;RGS versie 3.5;WOmzNooNdo;Opbrengsten uit overige bronnen overige netto-omzet;110;Omzet;Credit;C;W&V;overige bedrijfsopbrengsten | tags: w&v
9000;Buitengewone baten;W;Winst & Verlies;RGS versie 3.5;WOvbOvoOvo;Overige opbrengsten niet elders genoemd baten uit overige activiteiten;140;Buitengewone inkomsten;Credit;C;W&V;buitengewone baten | tags: w&v
9010;Buitengewone lasten;W;Winst & Verlies;RGS versie 3.5;WBedAlkOal;Algemene kosten andere kosten;130;Buitengewone kosten;Debet;D;W&V;buitengewone lasten | tags: w&v
9500;Resultaat deelnemingen 1;W;Winst & Verlies;RGS versie 3.5;WRedAirAwd;Resultaat deelnemingen (dividend);140;Buitengewone inkomsten;Credit;C;W&V;resultaat deelnemingen 1 | tags: w&v
9510;Resultaat deelnemingen 2;W;Winst & Verlies;RGS versie 3.5;WRedAirAwd;Resultaat deelnemingen (dividend);140;Buitengewone inkomsten;Credit;C;W&V;resultaat deelnemingen 2 | tags: w&v
9520;Resultaat deelnemingen 3;W;Winst & Verlies;RGS versie 3.5;WRedAirAwd;Resultaat deelnemingen (dividend);140;Buitengewone inkomsten;Credit;C;W&V;resultaat deelnemingen 3 | tags: w&v
9530;Resultaat deelnemingen 4;W;Winst & Verlies;RGS versie 3.5;WRedAirAwd;Resultaat deelnemingen (dividend);140;Buitengewone inkomsten;Credit;C;W&V;resultaat deelnemingen 4 | tags: w&v
9540;Resultaat deelnemingen 5;W;Winst & Verlies;RGS versie 3.5;WRedAirAwd;Resultaat deelnemingen (dividend);140;Buitengewone inkomsten;Credit;C;W&V;resultaat deelnemingen 5 | tags: w&v
9900;Vennootschapsbelasting;W;Winst & Verlies;RGS versie 3.5;WBelBgrBgr;Belastingen uit huidig boekjaar belastingen over de winst of het verlies;150;Belastingen;Debet;D;W&V;vennootschapsbelasting | tags: w&v
9910;Vennootschapsbelasting voorgaande jaren;W;Winst & Verlies;RGS versie 3.5;WBelBgrBuv;Belastingen uit voorgaande boekjaren belastingen over de winst of het verlies;150;Belastingen;Debet;D;W&V;vennootschapsbelasting voorgaande jaren | tags: w&v
9920;Mutatie latente belastingverplichting;W;Winst & Verlies;RGS versie 3.5;WBelBgrDlb;Dotatie voorziening voor latente belastingen;150;Belastingen;Debet;D;BOTH;mutatie latente belastingverplichting | tags: balans_en_w&v
9930;Correctie BTW voorgaande jaren;W;Winst & Verlies;RGS versie 3.5;WBedAdlNao;Naheffing omzetbelasting administratieve lasten;150;Belastingen;Credit;C;BOTH;"correctie btw voorgaande jaren | tags: balans_en_w&v; btw"
999999999;Not allocated (created by import);B;Balans;RGS versie 3.5;BLimKruSto;Stortingen onderweg kruisposten;90;Algemeen;Credit;C;BALANS;not allocated (created by import) | tags: balans
